week,	day,	month,	year,	home,			hscore,	hmatch,	hpoint,	htotal,	away,			ascore,	amatch,	apoint,	atotal,	stadium, city
24,	5,	2,	2024,	Arema FC,		1,	13,	0,	21,	PSIS Semarang,		4,	12,	3,	42,	Kapten I Wayan Dipta, Gianyar
24,	5,	2,	2024,	Persik Kediri,		1,	12,	3,	37,	Bali United FC,		0,	11,	0,	41,	Brawijaya, Kediri
24,	6,	2,	2024,	Dewa United FC,		2,	12,	1,	31,	PS Barito Putera,	2,	13,	1,	33,	Indomilk Arena, Tangerang
24,	6,	2,	2024,	Madura United FC,	2,	12,	1,	36,	Rans Nusantara FC,	2,	12,	1,	33,	Gelora Bangkalan, Bangkalan
24,	6,	2,	2024,	Borneo FC Samarinda,	3,	13,	3,	54,	Persija Jakarta,	1,	12,	0,	32,	Segiri, Samarinda
25,	22,	2,	2024,	Persikabo 1973,		2,	13,	0,	17,	Borneo FC Samarinda,	3,	12,	3,	57,	Kapten I Wayan Dipta, Gianyar
25,	22,	2,	2024,	Bhayangkara FC,		1,	13,	0,	15,	PSS Sleman,		4,	13,	3,	30,	STIK Jakarta, Jakarta Selatan
25,	22,	2,	2024,	Persija Jakarta,	0,	13,	0,	32,	Madura United FC,	1,	13,	3,	39,	Kapten I Wayan Dipta, Gianyar
25,	22,	2,	2024,	Rans Nusantara FC,	2,	13,	0,	33,	Arema FC,		3,	12,	3,	24,	Sultan Agung, Bantul
25,	23,	2,	2024,	Persita Tangerang,	1,	13,	1,	27,	Persebaya Surabaya,	1,	13,	1,	31,	Indomilk Arena, Tangerang
25,	23,	2,	2024,	PSIS Semarang,		1,	13,	1,	43,	Dewa United FC,		1,	13,	1,	32,	dr. H. Moch. Soebroto, Magelang
25,	23,	2,	2024,	PS Barito Putera,	1,	12,	1,	34,	Persib Bandung,		1,	13,	1,	42,	Sultan Agung, Bantul
25,	24,	2,	2024,	Persis Solo,		2,	12,	3,	32,	Persik Kediri,		1,	13,	0,	37,	Manahan, Solo
25,	24,	2,	2024,	PSM Makassar,		0,	12,	1,	33,	Bali United FC,		0,	12,	1,	42,	Batakan, Balikpapan
26,	26,	2,	2024,	Arema FC,		3,	14,	3,	27,	Persija Jakarta,	2,	13,	0,	32,	Kapten I Wayan Dipta, Gianyar
26,	26,	2,	2024,	Madura United FC,	3,	13,	3,	42,	Persikabo 1973,		2,	13,	0,	17,	Gelora Bangkalan, Bangkalan
26,	26,	2,	2024,	Borneo FC Samarinda,	4,	14,	3,	60,	Bhayangkara FC,		0,	13,	0,	15,	Batakan, Balikpapan
26,	27,	2,	2024,	Dewa United FC,		5,	13,	3,	35,	Rans Nusantara FC,	0,	13,	0,	33,	Indomilk Arena, Tangerang
